"Language Code","Title","Short Description","Full Description"
"es-419","El Huerto de Sofía","Aplasta insectos para salvar el huerto. 1000 niveles, 10 jefes y 100 bichos.","La abuela de Sofía dejó su huerto al cuidado de ella. Una mañana las hormigas empiezan a marchar en fila derecha hacia el invernadero, y no son hormigas comunes: alguien las está mandando.

Aplasta todo lo que se meta entre las plantas antes de que se lo lleven todo. Un toque, un bicho menos.

MIL NIVELES, DIEZ MUNDOS
Del huerto de tomates al Núcleo Reina, pasando por el invernadero, la cueva subterránea, el cultivo radiactivo, el pantano, el laboratorio, la fábrica, los túneles y el búnker. Cada mundo trae bichos nuevos y su propia música.

DIEZ JEFES CON MAÑAS PROPIAS
Cada cinco niveles te espera uno. Invocan refuerzos, se entierran, levantan escudo, embisten, te escupen, te roban monedas y se curan si los dejas tranquilos.

CIEN INSECTOS PARA DESCUBRIR
Uno escondido cada diez niveles. Aparecen una sola vez.

MEJORA TU ARSENAL
Cinco armas, del zapato viejo a la pala electrificada, con diez niveles de mejora cada una. Suma objetos que alargan el tiempo, frenan a los bichos o tiran una tormenta de rayos.

MODO EXTREMO
Se abre al terminar el nivel 100. Los mismos mil niveles con todo el bicherío al doble y medio de vida, velocidad y fuerza.

PARA JUGAR EN CUALQUIER LADO
Funciona sin conexión. Sin registro, sin cuentas, sin pedirte un correo."
"en-US","El Huerto de Sofía","Squash the bugs and save the garden. 1000 levels, 10 bosses, 100 insects.","Sofia's grandmother left her garden in her care. One morning the ants start marching in a straight line toward the greenhouse — and these are not ordinary ants. Someone is sending them.

Squash everything that creeps between the plants before they take it all. One tap, one bug less.

A THOUSAND LEVELS, TEN WORLDS
From the tomato patch to the Queen's Core, through the greenhouse, the underground cave, the radioactive crop, the swamp, the laboratory, the factory, the tunnels and the bunker. Every world brings new bugs and its own music.

TEN BOSSES WITH THEIR OWN TRICKS
One waits every five levels. They summon reinforcements, burrow, raise shields, charge at you, spit, steal your coins and heal if you leave them alone.

A HUNDRED INSECTS TO DISCOVER
One hidden every ten levels. They show up only once.

UPGRADE YOUR ARSENAL
Five weapons, from the old shoe to the electrified shovel, ten upgrade levels each. Add items that stretch the timer, slow the bugs down or drop a lightning storm.

EXTREME MODE
Unlocked when you clear level 100. The same thousand levels with every bug at two and a half times the health, speed and strength.

PLAY ANYWHERE
Works offline. No sign-up, no accounts, no email required."
"zh-CN","El Huerto de Sofía","拍扁害虫，守住菜园。1000 关，10 个首领，100 种昆虫。","奶奶把菜园交给了索菲亚照看。一天早上，蚂蚁排成笔直的队伍朝温室行进——它们不是普通的蚂蚁，有人在指挥它们。

在它们把菜园搬空之前，拍扁每一只闯进来的虫子。点一下，少一只。

一千关，十个世界
从番茄菜园一路打到蚁后核心，途经温室、地下洞穴、辐射农田、沼泽、实验室、工厂、隧道和地堡。每个世界都有新的昆虫和专属音乐。

十个各有绝招的首领
每五关就有一个。它们会召唤援兵、钻地、开盾、冲撞、喷射、偷你的金币，你不打它还会自己回血。

一百种待发现的昆虫
每十关藏一只，只出现一次。

升级你的装备
五种武器，从旧鞋到电击铲，各有十级强化。还有延长时间、减速昆虫、召唤雷暴的道具。

极限模式
通关第 100 关后解锁。同样的一千关，所有昆虫的生命、速度和力量都提升到 2.5 倍。

随时随地畅玩
支持离线。无需注册，无需账号，不要邮箱。"
"fr-FR","El Huerto de Sofía","Écrase les insectes et sauve le potager. 1000 niveaux, 10 boss, 100 bestioles.","La grand-mère de Sofía lui a confié son potager. Un matin, les fourmis se mettent à marcher en file droite vers la serre — et ce ne sont pas des fourmis ordinaires : quelqu'un les envoie.

Écrase tout ce qui se glisse entre les plants avant qu'ils n'emportent tout. Une tape, une bestiole en moins.

MILLE NIVEAUX, DIX MONDES
Du potager de tomates au Noyau de la Reine, en passant par la serre, la grotte souterraine, la culture radioactive, le marais, le laboratoire, l'usine, les tunnels et le bunker. Chaque monde apporte de nouvelles bestioles et sa propre musique.

DIX BOSS ET LEURS SALES MANIES
Un vous attend tous les cinq niveaux. Ils invoquent des renforts, s'enterrent, lèvent un bouclier, chargent, crachent, volent vos pièces et se soignent si vous les laissez tranquilles.

CENT INSECTES À DÉCOUVRIR
Un caché tous les dix niveaux. Ils n'apparaissent qu'une seule fois.

AMÉLIORE TON ARSENAL
Cinq armes, de la vieille chaussure à la pelle électrifiée, avec dix niveaux d'amélioration chacune. Ajoute des objets qui rallongent le temps, ralentissent les bestioles ou déclenchent une tempête d'éclairs.

MODE EXTRÊME
Débloqué en terminant le niveau 100. Les mêmes mille niveaux avec toutes les bestioles à deux fois et demie la vie, la vitesse et la force.

JOUE OÙ TU VEUX
Fonctionne hors ligne. Sans inscription, sans compte, sans adresse e-mail."
"ar","El Huerto de Sofía","اسحق الحشرات وأنقذ الحديقة. 1000 مستوى و10 زعماء و100 حشرة.","تركت جدة صوفيا حديقتها في رعايتها. وفي صباح أحد الأيام بدأ النمل يسير في صف مستقيم نحو البيت الزجاجي — وليس نملاً عادياً: هناك من يرسله.

اسحق كل ما يتسلل بين النباتات قبل أن يأخذوا كل شيء. لمسة واحدة، حشرة أقل.

ألف مستوى وعشرة عوالم
من حقل الطماطم إلى نواة الملكة، مروراً بالبيت الزجاجي والكهف تحت الأرض والمحصول المشع والمستنقع والمختبر والمصنع والأنفاق والمخبأ. كل عالم يأتي بحشرات جديدة وموسيقاه الخاصة.

عشرة زعماء لكل منهم حيلته
واحد ينتظرك كل خمسة مستويات. يستدعون التعزيزات ويحفرون ويرفعون الدروع ويهجمون ويبصقون ويسرقون عملاتك ويشفون أنفسهم إن تركتهم.

مئة حشرة لاكتشافها
واحدة مخبأة كل عشرة مستويات، وتظهر مرة واحدة فقط.

طوّر ترسانتك
خمسة أسلحة من الحذاء القديم إلى المجرفة الكهربائية، ولكل منها عشرة مستويات تطوير. أضف أدوات تطيل الوقت أو تبطئ الحشرات أو تطلق عاصفة برق.

الوضع القاسي
يُفتح عند إنهاء المستوى 100. نفس الألف مستوى مع مضاعفة صحة الحشرات وسرعتها وقوتها مرتين ونصف.

العب في أي مكان
يعمل دون اتصال. بلا تسجيل ولا حسابات ولا بريد إلكتروني."
"pt-BR","El Huerto de Sofía","Esmague insetos e salve a horta. 1000 níveis, 10 chefes e 100 bichos.","A avó de Sofía deixou a horta aos cuidados dela. Uma manhã as formigas começam a marchar em fila reta rumo à estufa — e não são formigas comuns: alguém está mandando nelas.

Esmague tudo que se meta entre as plantas antes que levem tudo. Um toque, um bicho a menos.

MIL NÍVEIS, DEZ MUNDOS
Da horta de tomates ao Núcleo da Rainha, passando pela estufa, a caverna subterrânea, a plantação radioativa, o pântano, o laboratório, a fábrica, os túneis e o bunker. Cada mundo traz bichos novos e a própria trilha sonora.

DEZ CHEFES COM MANHAS PRÓPRIAS
Um espera a cada cinco níveis. Invocam reforços, se enterram, levantam escudo, avançam, cospem, roubam suas moedas e se curam se você os deixar em paz.

CEM INSETOS PARA DESCOBRIR
Um escondido a cada dez níveis. Aparecem uma única vez.

MELHORE SEU ARSENAL
Cinco armas, do sapato velho à pá eletrificada, com dez níveis de melhoria cada. Some itens que esticam o tempo, freiam os bichos ou soltam uma tempestade de raios.

MODO EXTREMO
Libera ao terminar o nível 100. Os mesmos mil níveis com todos os bichos com duas vezes e meia mais vida, velocidade e força.

PARA JOGAR EM QUALQUER LUGAR
Funciona offline. Sem cadastro, sem contas, sem pedir e-mail."
"ru-RU","El Huerto de Sofía","Дави насекомых и спасай огород. 1000 уровней, 10 боссов, 100 жуков.","Бабушка оставила огород на Софию. Однажды утром муравьи выстраиваются в ровную колонну и идут к теплице — и это не обычные муравьи: кто-то ими управляет.

Дави всё, что лезет к грядкам, пока они не унесли весь урожай. Одно касание — на одного меньше.

ТЫСЯЧА УРОВНЕЙ, ДЕСЯТЬ МИРОВ
От томатного огорода до Ядра Королевы: теплица, подземная пещера, радиоактивные посевы, болото, лаборатория, фабрика, туннели и бункер. В каждом мире новые жуки и своя музыка.

ДЕСЯТЬ БОССОВ СО СВОИМИ ПОВАДКАМИ
Один ждёт каждые пять уровней. Они зовут подкрепление, зарываются, ставят щит, идут на таран, плюются, крадут монеты и лечатся, если их не трогать.

СТО НАСЕКОМЫХ, КОТОРЫХ НАДО НАЙТИ
Одно спрятано каждые десять уровней. Появляется только один раз.

УЛУЧШАЙ АРСЕНАЛ
Пять орудий — от старого ботинка до электрической лопаты, по десять уровней улучшения у каждого. Плюс предметы, которые продлевают время, замедляют жуков или обрушивают грозу.

ЭКСТРИМ-РЕЖИМ
Открывается после сотого уровня. Те же тысяча уровней, но у всех жуков в два с половиной раза больше здоровья, скорости и силы.

ИГРАЙ ГДЕ УГОДНО
Работает без интернета. Без регистрации, без аккаунтов, без почты."
"ja-JP","El Huerto de Sofía","虫をつぶして畑を守れ。1000のレベル、10体のボス、100種の虫。","おばあちゃんは畑をソフィアに託した。ある朝、アリたちが一列になって温室へ向かって行進を始める。ただのアリではない。誰かが差し向けているのだ。

畑を丸ごと持っていかれる前に、入り込んだ虫を片っ端からつぶそう。ひとタップ、一匹減る。

1000レベル、10の世界
トマト畑から女王のコアまで。温室、地下洞窟、放射能の畑、沼地、研究所、工場、トンネル、バンカー。世界ごとに新しい虫と専用の音楽がある。

10体のボス、それぞれの手口
5レベルごとに1体が待っている。増援を呼び、地中に潜り、シールドを張り、突進し、吐きかけ、コインを盗み、放っておくと回復する。

100種の虫を見つけ出せ
10レベルごとに1匹だけ隠れている。現れるのは一度きり。

装備を強化しよう
古い靴から電撃シャベルまで武器は5種類、それぞれ10段階の強化。時間を延ばす、虫を遅くする、雷の嵐を落とすアイテムもある。

エクストリームモード
レベル100をクリアすると解放。同じ1000レベルを、すべての虫が体力・速度・攻撃力2.5倍の状態で。

どこでも遊べる
オフライン対応。登録もアカウントもメールアドレスも不要。"
"ko-KR","El Huerto de Sofía","벌레를 눌러 텃밭을 지켜라. 1000개 레벨, 보스 10마리, 벌레 100종.","할머니는 텃밭을 소피아에게 맡겼다. 어느 아침, 개미들이 줄을 맞춰 온실 쪽으로 행진하기 시작한다. 평범한 개미가 아니다. 누군가가 보내고 있다.

텃밭을 통째로 빼앗기기 전에, 들어오는 벌레를 전부 눌러 잡자. 한 번 터치, 한 마리 감소.

1000개 레벨, 10개 세계
토마토 텃밭에서 여왕의 핵심부까지. 온실, 지하 동굴, 방사능 농작지, 늪지대, 실험실, 공장, 터널, 벙커. 세계마다 새로운 벌레와 전용 음악이 있다.

각자의 수법을 가진 보스 10마리
5레벨마다 하나씩 기다린다. 지원군을 부르고, 땅속에 숨고, 방패를 세우고, 돌진하고, 뱉고, 코인을 훔치고, 내버려 두면 회복한다.

찾아내야 할 벌레 100종
10레벨마다 한 마리씩 숨어 있고, 단 한 번만 나타난다.

장비를 강화하자
낡은 신발부터 전기 삽까지 무기 5종, 각각 10단계 강화. 시간을 늘리고, 벌레를 늦추고, 번개 폭풍을 부르는 아이템도 있다.

익스트림 모드
레벨 100을 통과하면 열린다. 같은 1000개 레벨을, 모든 벌레의 체력·속도·힘이 2.5배인 상태로.

어디서나 플레이
오프라인 지원. 가입도 계정도 이메일도 필요 없다."
"de-DE","El Huerto de Sofía","Zerquetsch die Käfer und rette den Garten. 1000 Level, 10 Bosse, 100 Insekten.","Sofías Großmutter hat ihr den Garten anvertraut. Eines Morgens marschieren die Ameisen in schnurgerader Reihe auf das Gewächshaus zu — und das sind keine gewöhnlichen Ameisen: Jemand schickt sie.

Zerquetsche alles, was sich zwischen die Pflanzen schiebt, bevor sie alles mitnehmen. Ein Tipp, ein Käfer weniger.

TAUSEND LEVEL, ZEHN WELTEN
Vom Tomatengarten bis zum Königinnenkern: Gewächshaus, unterirdische Höhle, radioaktives Feld, Sumpf, Labor, Fabrik, Tunnel und Bunker. Jede Welt bringt neue Käfer und ihre eigene Musik.

ZEHN BOSSE MIT EIGENEN TRICKS
Alle fünf Level wartet einer. Sie rufen Verstärkung, graben sich ein, stellen Schilde auf, stürmen los, spucken, stehlen Münzen und heilen sich, wenn man sie in Ruhe lässt.

HUNDERT INSEKTEN ZU ENTDECKEN
Alle zehn Level ist eines versteckt. Es taucht nur ein einziges Mal auf.

RÜSTE DEIN ARSENAL AUF
Fünf Waffen, vom alten Schuh bis zur Elektroschaufel, je zehn Ausbaustufen. Dazu Gegenstände, die Zeit schinden, Käfer bremsen oder einen Blitzsturm auslösen.

EXTREMMODUS
Freigeschaltet nach Level 100. Dieselben tausend Level, aber jeder Käfer hat zweieinhalbmal so viel Leben, Tempo und Kraft.

ÜBERALL SPIELBAR
Funktioniert offline. Ohne Registrierung, ohne Konto, ohne E-Mail."
